""
"Ergebnistabelle"
"Landtagswahl 2026 in Baden-Württemberg, 003-07 - Evangelische KircheVorläufiges Endergebnis"
""
""
""
"Merkmal","Direktkandidat/-in","Erststimmen",,"Zweitstimmen"
"","","Anzahl","Anteil","Anzahl","Anteil"
"Wahlberechtigte","","534","-","534","-"
"Wählende","","251","47,0 %","251","47,0 %"
"Ungültige Stimmen","","2","0,8 %","2","0,8 %"
"Gültige Stimmen","","249","99,2 %","249","99,2 %"
"GRÜNE","Olschowski, Petra","91","36,5 %","101","40,6 %"
"CDU","Dr. Reiners, Markus","115","46,2 %","96","38,6 %"
"SPD","Steinhülb-Joos, Katrin","6","2,4 %","6","2,4 %"
"FDP","Becker, Juliane","15","6,0 %","19","7,6 %"
"AfD","Köhler, Christian","17","6,8 %","20","8,0 %"
"Die Linke","Monteiro Bailey, Luna","2","0,8 %","3","1,2 %"
"FREIE WÄHLER","","-","-","0","0,0 %"
"Die PARTEI","","-","-","0","0,0 %"
"dieBasis","","-","-","0","0,0 %"
"KlimalisteBW","","-","-","0","0,0 %"
"ÖDP","","-","-","0","0,0 %"
"Volt","Hueber, Benjamin","0","0,0 %","0","0,0 %"
"Bündnis C","","-","-","0","0,0 %"
"PdH","","-","-","0","0,0 %"
"Verjüngungsforschung","","-","-","0","0,0 %"
"BSW","Moreira Costeira, Patrick","3","1,2 %","3","1,2 %"
"Die Gerechtigkeitspartei","","-","-","0","0,0 %"
"PDR","","-","-","0","0,0 %"
"PdF","","-","-","0","0,0 %"
"Tierschutzpartei","","-","-","0","0,0 %"
"WerteUnion","","-","-","1","0,4 %"
"BÜNDNIS DEUTSCHLAND","Tozman, Iprahim","0","0,0 %","-","-"
