""
"Ergebnistabelle"
"Landtagswahl 2026 in Baden-Württemberg, 04 - Stuttgart IVVorläufiges Endergebnis"
""
""
""
"Merkmal","Direktkandidat/-in","Erststimmen",,,"Zweitstimmen"
"","","Anzahl","Anteil","Gewinn & Verlust in %-Punkten","Anzahl","Anteil","Gewinn & Verlust in %-Punkten"
"Wahlberechtigte","","90.251","-","-","90.251","-","-"
"Wählende","","58.942","65,3 %","+5,7","58.942","65,3 %","+5,7"
"Ungültige Stimmen","","396","0,7 %","+0,3","271","0,5 %","+0,1"
"Gültige Stimmen","","58.546","99,3 %","-0,3","58.671","99,5 %","-0,1"
"GRÜNE","Olschowski, Petra","19.668","33,6 %","-2,0","22.715","38,7 %","+3,1"
"CDU","Dr. Reiners, Markus","16.226","27,7 %","+6,2","13.694","23,3 %","+1,8"
"SPD","Steinhülb-Joos, Katrin","5.259","9,0 %","-4,3","3.547","6,0 %","-7,2"
"FDP","Becker, Juliane","2.083","3,6 %","-6,1","2.442","4,2 %","-5,5"
"AfD","Köhler, Christian","7.121","12,2 %","+6,3","7.152","12,2 %","+6,3"
"Die Linke","Monteiro Bailey, Luna","5.740","9,8 %","+2,8","5.164","8,8 %","+1,8"
"FREIE WÄHLER","","-","-","-1,6","660","1,1 %","-0,5"
"Die PARTEI","","-","-","-1,7","315","0,5 %","-1,2"
"dieBasis","","-","-","-0,6","95","0,2 %","-0,5"
"KlimalisteBW","","-","-","-1,0","65","0,1 %","-0,9"
"ÖDP","","-","-","-0,4","110","0,2 %","-0,2"
"Volt","Hueber, Benjamin","1.103","1,9 %","+1,0","658","1,1 %","+0,3"
"Bündnis C","","-","-","-","82","0,1 %","+0,1"
"PdH","","-","-","-","31","0,1 %","+0,1"
"Verjüngungsforschung","","-","-","-0,4","34","0,1 %","-0,3"
"BSW","Moreira Costeira, Patrick","1.119","1,9 %","+1,9","1.126","1,9 %","+1,9"
"Die Gerechtigkeitspartei","","-","-","-","124","0,2 %","+0,2"
"PDR","","-","-","-","69","0,1 %","+0,1"
"PdF","","-","-","-","51","0,1 %","+0,1"
"Tierschutzpartei","","-","-","-","453","0,8 %","+0,8"
"WerteUnion","","-","-","-","84","0,1 %","+0,1"
"BÜNDNIS DEUTSCHLAND","Tozman, Iprahim","227","0,4 %","+0,4","-","-","-"
